asset_pair,wsname,asset,currency,time,tmsp,open_price,close_price,volume
ADAEUR,ADA/EUR,ADA,EUR,2019-10-24 02:00:00,1571875200,0.03269,0.033693,2741963.86241875
ADAEUR,ADA/EUR,ADA,EUR,2019-10-25 02:00:00,1571961600,0.033735,0.03716,4774162.18356
ADAEUR,ADA/EUR,ADA,EUR,2019-10-26 02:00:00,1572048000,0.03718,0.036682,9073954.08590636
ADAEUR,ADA/EUR,ADA,EUR,2019-10-27 02:00:00,1572134400,0.03661,0.037997,6264948.29509495
ADAEUR,ADA/EUR,ADA,EUR,2019-10-28 01:00:00,1572220800,0.038174,0.038072,7914783.92654489
ADAEUR,ADA/EUR,ADA,EUR,2019-10-29 01:00:00,1572307200,0.038062,0.039137,3224517.13169345
ADAEUR,ADA/EUR,ADA,EUR,2019-10-30 01:00:00,1572393600,0.03914,0.037548,4731524.94185114
ADAEUR,ADA/EUR,ADA,EUR,2019-10-31 01:00:00,1572480000,0.037572,0.037092,3690957.80592939
ADAEUR,ADA/EUR,ADA,EUR,2019-11-01 01:00:00,1572566400,0.037038,0.037873,2723447.91225437
ADAEUR,ADA/EUR,ADA,EUR,2019-11-02 01:00:00,1572652800,0.0379,0.03821,1692397.80952393
ADAEUR,ADA/EUR,ADA,EUR,2019-11-03 01:00:00,1572739200,0.038128,0.037568,1248421.27881505
ADAEUR,ADA/EUR,ADA,EUR,2019-11-04 01:00:00,1572825600,0.03743,0.038714,3165978.88484591
ADAEUR,ADA/EUR,ADA,EUR,2019-11-05 01:00:00,1572912000,0.038897,0.040001,5484859.16732971
ADAEUR,ADA/EUR,ADA,EUR,2019-11-06 01:00:00,1572998400,0.040002,0.040684,5846636.41736248
ADAEUR,ADA/EUR,ADA,EUR,2019-11-07 01:00:00,1573084800,0.040598,0.039299,4718607.75390177
ADAEUR,ADA/EUR,ADA,EUR,2019-11-08 01:00:00,1573171200,0.039318,0.038306,4327337.08735785
ADAEUR,ADA/EUR,ADA,EUR,2019-11-09 01:00:00,1573257600,0.03817,0.038508,1491904.68260829
ADAEUR,ADA/EUR,ADA,EUR,2019-11-10 01:00:00,1573344000,0.038508,0.03983,3388661.41652712
ADAEUR,ADA/EUR,ADA,EUR,2019-11-11 01:00:00,1573430400,0.039979,0.039156,3867107.74652211
ADAEUR,ADA/EUR,ADA,EUR,2019-11-12 01:00:00,1573516800,0.039158,0.03972,4518859.53567714
ADAEUR,ADA/EUR,ADA,EUR,2019-11-13 01:00:00,1573603200,0.03972,0.039381,737532.45441096
ADAEUR,ADA/EUR,ADA,EUR,2019-11-14 01:00:00,1573689600,0.039274,0.038947,1495517.35106625
ADAEUR,ADA/EUR,ADA,EUR,2019-11-15 01:00:00,1573776000,0.038724,0.039785,5103725.94286885
ADAEUR,ADA/EUR,ADA,EUR,2019-11-16 01:00:00,1573862400,0.040013,0.039722,1616301.11829553
ADAEUR,ADA/EUR,ADA,EUR,2019-11-17 01:00:00,1573948800,0.039667,0.040801,5123135.04718602
ADAEUR,ADA/EUR,ADA,EUR,2019-11-18 01:00:00,1574035200,0.0408,0.03919,5927900.26290301
ADAEUR,ADA/EUR,ADA,EUR,2019-11-19 01:00:00,1574121600,0.039096,0.038136,5092646.92461532
ADAEUR,ADA/EUR,ADA,EUR,2019-11-20 01:00:00,1574208000,0.038,0.03695,2352709.99691062
ADAEUR,ADA/EUR,ADA,EUR,2019-11-21 01:00:00,1574294400,0.036833,0.034725,5606812.25117526
ADAEUR,ADA/EUR,ADA,EUR,2019-11-22 01:00:00,1574380800,0.034725,0.033824,8429674.27717435
ADAEUR,ADA/EUR,ADA,EUR,2019-11-23 01:00:00,1574467200,0.033858,0.034608,2189469.57439511
ADAEUR,ADA/EUR,ADA,EUR,2019-11-24 01:00:00,1574553600,0.034612,0.031711,3293354.46453125
ADAEUR,ADA/EUR,ADA,EUR,2019-11-25 01:00:00,1574640000,0.031829,0.032779,7488252.60649779
ADAEUR,ADA/EUR,ADA,EUR,2019-11-26 01:00:00,1574726400,0.032815,0.033483,2738437.20382439
ADAEUR,ADA/EUR,ADA,EUR,2019-11-27 01:00:00,1574812800,0.033447,0.035423,7988899.59496442
ADAEUR,ADA/EUR,ADA,EUR,2019-11-28 01:00:00,1574899200,0.03569,0.03576,3239736.36627687
ADAEUR,ADA/EUR,ADA,EUR,2019-11-29 01:00:00,1574985600,0.035844,0.03749,8408479.99185278
ADAEUR,ADA/EUR,ADA,EUR,2019-11-30 01:00:00,1575072000,0.0374,0.036858,3539219.10403983
ADAEUR,ADA/EUR,ADA,EUR,2019-12-01 01:00:00,1575158400,0.036637,0.035986,2653083.15124923
ADAEUR,ADA/EUR,ADA,EUR,2019-12-02 01:00:00,1575244800,0.03598,0.034629,3606132.29381909
ADAEUR,ADA/EUR,ADA,EUR,2019-12-03 01:00:00,1575331200,0.034432,0.034259,1989273.11855351
ADAEUR,ADA/EUR,ADA,EUR,2019-12-04 01:00:00,1575417600,0.034126,0.033405,4650581.34004315
ADAEUR,ADA/EUR,ADA,EUR,2019-12-05 01:00:00,1575504000,0.033565,0.033996,1649399.60194713
ADAEUR,ADA/EUR,ADA,EUR,2019-12-06 01:00:00,1575590400,0.033832,0.034764,1312766.20835171
ADAEUR,ADA/EUR,ADA,EUR,2019-12-07 01:00:00,1575676800,0.034764,0.034725,1338790.27831768
ADAEUR,ADA/EUR,ADA,EUR,2019-12-08 01:00:00,1575763200,0.034741,0.034961,1272585.92676279
ADAEUR,ADA/EUR,ADA,EUR,2019-12-09 01:00:00,1575849600,0.035039,0.033729,2504788.34005036
